location_index,location_id,location_name,num_pics,likes,comment_count,timestring
0,212928653,miami-beach-florida,1,51.0,0.0,2019-04-03 16:43:25
1,213445472,laguna-beach-california,7,0.0,0.0,2019-04-03 21:32:36
